STATE/UT,CRIME HEAD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Andhra Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,351,313,361,555,322,271,210,214,273,426,261,488,524,422,474,369
Arunachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,3,4,8,3,6,4,0,4,6,1,2,6,1,3,2
Assam,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,137,143,158,182,173,110,115,125,77,88,83,75,51,41,93,117
Bihar,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,272,140,144,163,129,137,118,90,108,70,101,378,264,221,339,388
Chattisgarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,283,212,254,158,162,163,195,232,199,268,191,207,267,243,187,280
Goa,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,3,0,0,2,1,0,3,0,1,0,3,1,2,0,0
Gujarat,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,59,150,92,79,56,47,80,55,44,107,564,46,75,55,62,146
Haryana,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,41,25,29,25,71,33,45,50,20,53,48,32,48,40,17,37
Himachal Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4,6,2,7,7,4,2,1,2,6,2,8,10,4,3,6
Jammu & Kashmir,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,214,135,92,63,47,29,17,28,33,34,40,353,312,238,201,228
Jharkhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,104,71,73,97,87,77,86,70,71,84,87,67,52,72,52,96
Karnataka,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,85,80,81,83,119,79,106,86,82,85,76,64,70,88,69,97
Kerala,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,439,351,413,496,466,631,443,462,444,373,782,377,352,361,356,323
Madhya Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,234,229,198,195,285,225,243,267,189,398,248,331,377,292,257,197
Maharashtra,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,96,63,71,39,51,57,60,57,33,88,65,61,58,77,66,65
Manipur,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,8,15,21,10,9,28,41,29,31,23,28,15,14,4,10,11
Meghalaya,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4,10,7,13,8,11,3,4,11,4,15,6,5,11,7,4
Mizoram,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,8,6,8,1,2,13,4,6,20,6,6,7,4,11,3,8
Nagaland,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,12,12,7,6,5,8,18,21,7,26,7,3,7,7,2,4
Odisha,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,90,90,132,149,155,154,317,273,167,165,229,99,77,88,107,65
Punjab,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,13,16,9,14,29,15,12,5,11,7,7,15,24,11,17,24
Rajasthan,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,210,258,393,341,476,490,610,609,592,824,864,389,371,302,282,206
Sikkim,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,1,12,1,1,3,1,2,0,2,0,3,1,1,3,4
Tamil Nadu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,378,306,284,526,350,325,605,540,689,545,464,360,427,260,397,431
Tripura,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,0,5,0,2,0,0,1,0,0,0,0,6,7,3,1
Uttar Pradesh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,893,1261,1088,1050,834,505,498,397,539,456,444,960,1094,872,1053,978
Uttarakhand,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,2,4,8,24,5,0,4,3,7,2,2,10,6,9,10,8
West Bengal,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,69,64,83,117,133,212,169,226,166,208,253,134,100,106,112,94
A&N Islands,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,1,5,0,2,2,1,1,1,0,0,1,2,1,2,1,1
Chandigarh,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,3,0,2,1,0,0,0,1,0,0,0,2,3,3,2,4
D&N Haveli,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,2,1,2,0,1,0,1,0,0,0,2,0,0,0,0
Daman & Diu,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,44,37,33,1,17,23,8,13,18,9,14,28,26,12,56,60
Lakshadweep,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Puducherry,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,6,7,2,11,13,10,11,3,6,4,17,2,1,1,4,0
INDIA,EXPLOSIVES & EXPLOSIVE SUBSTANCES ACT,4067,4019,4067,4419,4021,3669,4027,3875,3843,4368,4900,4529,4634,3864,4248,4254
Andhra Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",657,612,357,279,548,497,472,489,637,514,430,1332,871,349,405,681
Arunachal Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0
Assam,"IMMORAL TRAFFIC(P) ACT, 1956",29,21,27,37,25,21,30,18,35,54,66,6,24,22,28,25
Bihar,"IMMORAL TRAFFIC(P) ACT, 1956",13,27,39,40,24,23,35,64,64,38,61,29,10,9,24,28
Chattisgarh,"IMMORAL TRAFFIC(P) ACT, 1956",13,14,4,9,12,15,5,8,5,4,17,12,12,7,9,6
Goa,"IMMORAL TRAFFIC(P) ACT, 1956",26,10,14,23,16,18,40,28,9,3,3,28,25,25,28,38
Gujarat,"IMMORAL TRAFFIC(P) ACT, 1956",78,44,52,41,46,46,44,76,53,44,83,61,57,74,33,59
Haryana,"IMMORAL TRAFFIC(P) ACT, 1956",85,88,77,90,57,57,69,63,69,61,79,21,32,57,62,85
Himachal Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,1,5,1,2,6,4,5,9,7,1,2,5,4,4
Jammu & Kashmir,"IMMORAL TRAFFIC(P) ACT, 1956",5,1,4,6,4,2,3,1,1,1,1,7,3,2,11,3
Jharkhand,"IMMORAL TRAFFIC(P) ACT, 1956",11,14,8,1,13,15,12,11,16,19,7,3,3,6,3,13
Karnataka,"IMMORAL TRAFFIC(P) ACT, 1956",786,612,516,329,242,351,335,340,392,423,338,1356,1388,1361,1170,1241
Kerala,"IMMORAL TRAFFIC(P) ACT, 1956",189,201,187,314,309,197,210,180,140,138,121,132,132,159,168,225
Madhya Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",12,19,10,19,19,24,13,22,17,30,22,15,14,33,23,19
Maharashtra,"IMMORAL TRAFFIC(P) ACT, 1956",378,322,327,271,306,390,366,289,233,400,320,233,182,179,309,222
Manipur,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,0,0,0,0,15,0,0,0,0,4,6,0,0,1
Meghalaya,"IMMORAL TRAFFIC(P) ACT, 1956",1,1,3,1,3,2,7,4,6,2,2,0,0,1,0,1
Mizoram,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,1,1,0,8,0,0,0,0,3,2,0,0,5,1
Nagaland,"IMMORAL TRAFFIC(P) ACT, 1956",9,4,1,3,2,2,4,1,1,5,0,1,4,1,4,4
Odisha,"IMMORAL TRAFFIC(P) ACT, 1956",44,40,29,14,25,23,24,27,36,47,51,24,24,11,22,29
Punjab,"IMMORAL TRAFFIC(P) ACT, 1956",67,45,43,59,59,50,86,137,71,77,68,32,38,54,32,58
Rajasthan,"IMMORAL TRAFFIC(P) ACT, 1956",143,91,72,62,82,81,99,74,105,86,56,68,55,51,79,115
Sikkim,"IMMORAL TRAFFIC(P) ACT, 1956",0,2,0,1,3,1,0,0,2,0,0,0,0,1,1,0
Tamil Nadu,"IMMORAL TRAFFIC(P) ACT, 1956",1732,1199,687,716,567,420,500,549,509,511,434,5232,3530,2839,3022,2777
Tripura,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0
Uttar Pradesh,"IMMORAL TRAFFIC(P) ACT, 1956",70,49,57,39,23,43,31,37,39,33,50,26,42,47,44,31
Uttarakhand,"IMMORAL TRAFFIC(P) ACT, 1956",3,9,3,6,4,3,12,13,20,20,13,0,0,0,4,2
West Bengal,"IMMORAL TRAFFIC(P) ACT, 1956",66,62,62,63,56,96,109,104,117,107,90,31,42,152,121,74
A&N Islands,"IMMORAL TRAFFIC(P) ACT, 1956",0,1,0,1,3,3,2,4,12,1,1,0,0,0,0,0
Chandigarh,"IMMORAL TRAFFIC(P) ACT, 1956",3,5,7,4,3,1,0,6,1,4,1,3,3,4,9,9
D&N Haveli,"IMMORAL TRAFFIC(P) ACT, 1956",0,2,3,0,1,1,2,2,1,2,0,0,0,2,0,0
Daman & Diu,"IMMORAL TRAFFIC(P) ACT, 1956",1,5,6,4,6,6,3,6,8,0,4,3,3,0,1,1
Delhi,"IMMORAL TRAFFIC(P) ACT, 1956",112,63,60,27,28,33,24,20,10,3,6,95,69,46,123,151
Lakshadweep,"IMMORAL TRAFFIC(P) ACT, 1956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"IMMORAL TRAFFIC(P) ACT, 1956",8,5,3,9,11,3,4,0,2,1,2,39,27,13,4,5
INDIA,"IMMORAL TRAFFIC(P) ACT, 1956",4541,3568,2660,2474,2499,2436,2563,2579,2617,2641,2337,8796,6598,5510,5748,5908
Andhra Pradesh,"INDIAN RAILWAYS ACT, 1989",6,2,4,12,3,46,27,26,8,5,9,43,173,103,53,20
Arunachal Pradesh,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"INDIAN RAILWAYS ACT, 1989",16,11,10,4,1,0,2,0,35,0,1,14,12,11,0,5
Bihar,"INDIAN RAILWAYS ACT, 1989",15,4,3,33,2,3,1,1,0,0,7,45,145,16,35,16
Chattisgarh,"INDIAN RAILWAYS ACT, 1989",5,1,2,2,5,3,8,17,8,18,2,7325,2495,3254,2288,2
Goa,"INDIAN RAILWAYS ACT, 1989",0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0
Gujarat,"INDIAN RAILWAYS ACT, 1989",2,2,1,3,0,1,1,2,4,1,4,1874,1864,2160,3632,4
Haryana,"INDIAN RAILWAYS ACT, 1989",11,11,7,7,6,4,3,8,3,12,14,1052,1019,993,546,8
Himachal Pradesh,"INDIAN RAILWAYS ACT, 1989",0,0,0,1,0,0,1,0,0,0,0,1,3,2,0,0
Jammu & Kashmir,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Jharkhand,"INDIAN RAILWAYS ACT, 1989",2,2,5,1,0,0,0,0,0,1,0,2,3,2,3,0
Karnataka,"INDIAN RAILWAYS ACT, 1989",2,5,3,6,6,1,7,6,2,2,6,25,22,19,8,7
Kerala,"INDIAN RAILWAYS ACT, 1989",4,6,4,2,2,11,10,6,9,22,11,11,13,20,9,6
Madhya Pradesh,"INDIAN RAILWAYS ACT, 1989",7,13,5,21,6,4,21,6,8,0,3,14419,12574,15084,5692,8
Maharashtra,"INDIAN RAILWAYS ACT, 1989",23,39,19,17,35,33,23,30,33,30,19,18667,17337,2371,681,23
Manipur,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,2,12,12,0,0
Odisha,"INDIAN RAILWAYS ACT, 1989",2,0,1,0,0,0,0,1,0,0,1,16,1,1,0,1
Punjab,"INDIAN RAILWAYS ACT, 1989",9,8,6,14,11,8,7,8,4,14,5,144,170,184,87,15
Rajasthan,"INDIAN RAILWAYS ACT, 1989",8,6,15,5,10,7,10,4,10,8,5,1390,1807,1837,1031,5
Sikkim,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"INDIAN RAILWAYS ACT, 1989",25,13,9,7,29,7,7,33,16,8,6,42,61,60,40,26
Tripura,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Uttar Pradesh,"INDIAN RAILWAYS ACT, 1989",32,26,24,24,23,21,12,9,141,222,277,15096,12892,13143,7292,42
Uttarakhand,"INDIAN RAILWAYS ACT, 1989",15,30,22,15,4,4,2,1,0,0,0,45,24,47,37,30
West Bengal,"INDIAN RAILWAYS ACT, 1989",5,7,2,1,2,2,1,7,4,3,1,4145,5068,1538,5,5
A&N Islands,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Daman & Diu,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Delhi,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,1,15,1,2,5,1
Lakshadweep,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"INDIAN RAILWAYS ACT, 1989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIA,"INDIAN RAILWAYS ACT, 1989",189,186,145,175,148,156,144,166,287,346,372,64373,55697,40861,21444,224
Andhra Pradesh,"REGISTRATION OF FOREIGNERS ACT, 1939",4,8,9,10,17,7,12,9,4,1,0,4,2,4,3,2
Arunachal Pradesh,"REGISTRATION OF FOREIGNERS ACT, 1939",1,0,0,0,1,1,1,0,4,4,0,1,0,0,0,0
Assam,"REGISTRATION OF FOREIGNERS ACT, 1939",6,10,2,3,11,2,23,10,16,10,8,1,0,0,0,3
Bihar,"REGISTRATION OF FOREIGNERS ACT, 1939",2,3,1,3,1,2,1,0,1,1,0,3,3,2,0,0
Chattisgarh,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,0,0,1,0,0,0,0,1,0,3,7,0,0
Goa,"REGISTRATION OF FOREIGNERS ACT, 1939",32,45,34,38,70,45,43,22,1,0,0,4,31,6,20,52
Gujarat,"REGISTRATION OF FOREIGNERS ACT, 1939",4,8,22,6,32,31,30,25,0,0,0,20,9,9,2,5
Haryana,"REGISTRATION OF FOREIGNERS ACT, 1939",22,32,54,19,10,19,21,27,1,1,4,5,8,16,5,13
Himachal Pradesh,"REGISTRATION OF FOREIGNERS ACT, 1939",5,3,2,2,6,7,7,5,10,0,2,8,8,3,10,4
Jammu & Kashmir,"REGISTRATION OF FOREIGNERS ACT, 1939",32,58,26,11,14,9,21,19,7,5,6,19,6,25,28,20
Jharkhand,"REGISTRATION OF FOREIGNERS ACT, 1939",2,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0
Karnataka,"REGISTRATION OF FOREIGNERS ACT, 1939",20,27,43,69,95,94,71,121,8,1,2,23,21,12,20,12
Kerala,"REGISTRATION OF FOREIGNERS ACT, 1939",13,22,33,38,47,30,21,20,26,12,7,9,3,3,5,5
Madhya Pradesh,"REGISTRATION OF FOREIGNERS ACT, 1939",1,6,2,0,2,2,0,1,0,0,0,1,2,2,2,2
Maharashtra,"REGISTRATION OF FOREIGNERS ACT, 1939",36,40,31,23,16,31,12,16,7,1,2,18,16,6,5,70
Manipur,"REGISTRATION OF FOREIGNERS ACT, 1939",1,6,11,28,24,29,16,6,7,7,1,0,3,9,4,9
Meghalaya,"REGISTRATION OF FOREIGNERS ACT, 1939",16,13,30,32,33,33,73,51,0,0,0,5,5,8,17,14
Mizoram,"REGISTRATION OF FOREIGNERS ACT, 1939",90,79,16,19,37,49,18,15,0,0,1,159,106,135,2,72
Nagaland,"REGISTRATION OF FOREIGNERS ACT, 1939",0,2,0,0,0,0,0,1,0,0,0,14,9,0,1,4
Odisha,"REGISTRATION OF FOREIGNERS ACT, 1939",1,2,0,0,3,1,0,0,0,0,0,2,0,1,0,0
Punjab,"REGISTRATION OF FOREIGNERS ACT, 1939",4,2,0,0,0,2,1,2,0,0,0,8,2,4,8,6
Rajasthan,"REGISTRATION OF FOREIGNERS ACT, 1939",2,5,10,10,7,5,1,4,7,10,7,3,3,3,1,8
Sikkim,"REGISTRATION OF FOREIGNERS ACT, 1939",6,1,6,0,0,3,3,1,0,0,0,0,0,0,1,7
Tamil Nadu,"REGISTRATION OF FOREIGNERS ACT, 1939",23,15,18,12,26,14,12,28,11,17,17,7,29,18,21,23
Tripura,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,2,1,6,1,1,0,0,0,0,0,0,0,0
Uttar Pradesh,"REGISTRATION OF FOREIGNERS ACT, 1939",1,2,3,1,3,4,1,5,0,2,0,55,77,75,5,6
Uttarakhand,"REGISTRATION OF FOREIGNERS ACT, 1939",0,5,11,7,8,3,3,3,2,0,0,3,2,0,2,2
West Bengal,"REGISTRATION OF FOREIGNERS ACT, 1939",1781,1705,1139,903,660,792,1079,1701,384,0,3,1049,1386,950,1015,1604
A&N Islands,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,0,50,24,15,21,0,0,0,0,0,0,0,0
Chandigarh,"REGISTRATION OF FOREIGNERS ACT, 1939",2,1,4,7,3,0,1,0,0,1,2,3,1,0,1,0
D&N Haveli,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Delhi,"REGISTRATION OF FOREIGNERS ACT, 1939",26,16,17,12,24,36,30,18,1,1,0,13,17,17,16,8
Lakshadweep,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"REGISTRATION OF FOREIGNERS ACT, 1939",0,0,0,1,1,2,0,1,0,0,0,0,2,0,0,0
INDIA,"REGISTRATION OF FOREIGNERS ACT, 1939",2133,2117,1524,1257,1204,1284,1519,2133,499,74,63,1438,1754,1315,1194,1951
Andhra Pradesh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",105,125,128,41,54,13,9,6,18,1,1,338,498,186,72,61
Arunachal Pradesh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Assam,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bihar,"PROTECTION OF CIVIL RIGHTS ACT, 1955",2,0,0,0,0,0,0,0,12,74,0,89,117,88,98,95
Chattisgarh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1
Goa,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0
Gujarat,"PROTECTION OF CIVIL RIGHTS ACT, 1955",4,2,4,2,0,2,2,0,19,1,1,19,7,7,5,6
Haryana,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,2,0,0,0,0,0,31,0,0,1,0,0,0,0
Himachal Pradesh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",2,4,3,1,1,3,3,4,7,3,1,4,10,1,2,5
Jammu & Kashmir,"PROTECTION OF CIVIL RIGHTS ACT, 1955",2,1,0,1,1,1,1,0,1,0,2,0,0,0,3,1
Jharkhand,"PROTECTION OF CIVIL RIGHTS ACT, 1955",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
Karnataka,"PROTECTION OF CIVIL RIGHTS ACT, 1955",26,17,49,10,33,12,12,25,1,11,6,107,101,73,39,28
Kerala,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0
Madhya Pradesh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",1,0,0,0,2,0,0,0,0,0,0,3,5,1,1,1
Maharashtra,"PROTECTION OF CIVIL RIGHTS ACT, 1955",36,20,20,24,25,10,6,29,5,20,16,61,76,43,26,32
Manipur,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,3,0,0,1,0,2,0,16,3,0,0,0
Punjab,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
Rajasthan,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,1
Sikkim,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,"PROTECTION OF CIVIL RIGHTS ACT, 1955",84,6,3,2,3,12,9,1,9,1,5,22,79,202,71,12
Tripura,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Uttar Pradesh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",133,8,49,61,0,0,1,0,0,0,0,12,122,52,35,28
Uttarakhand,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&N Islands,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chandigarh,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,2,0,0,0,3,0,2,2,2,1,0,0,1
Lakshadweep,"PROTECTION OF CIVIL RIGHTS ACT, 1955",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,"PROTECTION OF CIVIL RIGHTS ACT, 1955",14,24,27,26,26,15,20,15,9,1,1,13,18,16,20,12
INDIA,"PROTECTION OF CIVIL RIGHTS ACT, 1955",454,211,285,170,148,74,64,67,115,117,37,691,1065,671,375,453
Andhra Pradesh,"INDIAN PASSPORT ACT, 1967",64,62,17,105,58,12,30,24,9,17,13,67,68,71,65,149
Arunachal Pradesh,"INDIAN PASSPORT ACT, 1967",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Assam,"INDIAN PASSPORT ACT, 1967",35,47,54,108,39,22,1,5,8,33,4,9,7,1,14,23
Bihar,"INDIAN PASSPORT ACT, 1967",0,1,1,0,1,8,0,0,0,3,2,1,2,5,1,0
Chattisgarh,"INDIAN PASSPORT ACT, 1967",0,4,1,0,0,0,1,0,0,0,3,0,0,0,0,0
Goa,"INDIAN PASSPORT ACT, 1967",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Gujarat,"INDIAN PASSPORT ACT, 1967",10,17,14,16,6,6,5,12,12,6,6,18,4,18,16,10
Haryana,"INDIAN PASSPORT ACT, 1967",4,1,0,3,2,0,0,1,2,0,1,1,0,0,1,2
Himachal Pradesh,"INDIAN PASSPORT ACT, 1967",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jammu & Kashmir,"INDIAN PASSPORT ACT, 1967",7,7,3,2,2,0,0,3,2,0,2,7,1,10,7,5
Jharkhand,"INDIAN PASSPORT ACT, 1967",10,0,0,0,0,0,1,1,1,0,1,0,0,0,0,94
Karnataka,"INDIAN PASSPORT ACT, 1967",20,23,21,51,33,115,61,39,13,45,90,24,13,5,21,10
Kerala,"INDIAN PASSPORT ACT, 1967",128,79,139,179,209,172,357,215,173,113,94,34,172,85,210,210
Madhya Pradesh,"INDIAN PASSPORT ACT, 1967",1,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0
Maharashtra,"INDIAN PASSPORT ACT, 1967",57,63,90,89,69,65,127,163,69,56,59,28,19,48,27,58
Manipur,"INDIAN PASSPORT ACT, 1967",0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0
Meghalaya,"INDIAN PASSPORT ACT, 1967",1,0,0,2,1,5,4,2,1,1,2,1,0,30,0,0
Mizoram,"INDIAN PASSPORT ACT, 1967",40,33,50,29,29,17,11,8,3,1,0,15,30,0,12,45
